id,label,gene_type,accession,title,file
Biopolymer polyester,MetaboliteClass,,,,
phaC_Ac(D171G),Gene,PathwayGene,NA,,
phaC_Ac(N149S),Gene,PathwayGene,NA,,
phaB_Re,Gene,PathwayGene,NA,,
10.3390/nu17020365,Paper,,,"Brussels Chicory Enhances Exhaustive Aerobic Exercise Performance and Post-Exercise Recovery, Possibly Through Promotion of Lactate Oxidation: A Pilot Randomized, Single-Blind, Placebo-Controlled, Two-Way Crossover Study",PMC11769108_nutri_plant_verified.json
LDHB,Gene,PathwayGene,NM_174100,,
Lactate,Metabolite,,,,
LDHA,Gene,PathwayGene,NA,,
HvKSL1,Gene,PathwayGene,AY551436,,
gibberellin (GA),Metabolite,,,,
HvKSL4,Gene,PathwayGene,NA,,
phytoalexin(s),Metabolite,,,,
OAS-TL A,Gene,PathwayGene,At4g14880,,
cysteine,Metabolite,,,,
OAS-TL B,Gene,PathwayGene,NA,,
OAS-TL C,Gene,PathwayGene,At3g59760,,
10.1016/j.jare.2024.08.037,Paper,,,A 3R-MYB transcription factor is involved in Methyl Jasmonate-Induced disease resistance in Agaricus bisporus and has implications for disease resistance in Arabidopsis,MinerU_markdown_PMC12225956_2038800101714984973_nutri_plant_verified.json
AbPAL1,Gene,PathwayGene,NA,,
Agaricus bisporus,Species,,,,
Total phenolics; total flavonoids; lignin,Metabolite,,,,
Phenylpropanoid,MetaboliteClass,,,,
AbC4H1,Gene,PathwayGene,NA,,
Ab4CL1,Gene,PathwayGene,NA,,
AbMYB11,Gene,RegulationGene,NA,,
Agaricus bisporus; Arabidopsis thaliana,Species,,,,
Phenylpropanoid biosynthesis and pathogenesis-related defense gene expression,Process,,,,
10.1111/j.1399-3054.2011.01520.x,Paper,,,Modulation of gene expression of carotene biosynthesis-related protein by photosynthetic electron transport for the acclimation of intertidal macroalga Ulva fasciata to hypersalinity and excess light,10.1111@j.1399-3054.2011.01547.x_nutri_plant_verified.json
DAHPS,Gene,PathwayGene,NA,,
Petunia hybrida,Species,,,,
volatile benzenoids,Metabolite,,,,
benzenoid,MetaboliteClass,,,,
EPSPS,Gene,PathwayGene,NA,,
CM,Gene,PathwayGene,NA,,
PAL2,Gene,PathwayGene,TRINITY_DN21897_c0_g1,,
BPBT,Gene,PathwayGene,NA,,
benzylbenzoate,Metabolite,,,,
BSMT1,Gene,PathwayGene,AT3G11480,,
methyl salicylate,Metabolite,,,,
ODO1,Gene,RegulationGene,NA,,
precursor supply through the floral shikimate pathway for benzenoid biosynthesis,Process,,,,
6-SFT,Gene,PathwayGene,NA,,
Hordeum vulgare; Nicotiana plumbaginifolia,Species,,,,
Fructan (graminan-type fructans including bifurcose and higher-DP fructans),Metabolite,,,,
10.1074/jbc.M110.112151,Paper,,,Identification of Phosphomethylethanolamine N-Methyltransferase from Arabidopsis and Its Role in Choline and Phospholipid Metabolism,PMC2937945_nutri_plant_verified.json
AtPMEAMT,Gene,PathwayGene,At1g48600,,
Arabidopsis thaliana; Saccharomyces cerevisiae; Escherichia coli,Species,,,,
phosphocholine; phosphatidylcholine,Metabolite,,,,
phospholipid-related choline metabolite,MetaboliteClass,,,,
AtPEAMT,Gene,PathwayGene,At3g18000,,
Saccharomyces cerevisiae; Escherichia coli; Arabidopsis thaliana,Species,,,,
Dgat1,Gene,PathwayGene,NM_010046,,
Dgat2,Gene,PathwayGene,NA,,
Ttp,Gene,RegulationGene,NM_011756,,
inflammation-related response coupled to metabolic regulation,Process,,,,
PLDα,Gene,PathwayGene,NA,,
phosphatidylcholine; phosphatidylethanolamine; phosphatidic acid; triacylglycerol,Metabolite,,,,
phospholipid; glycerolipid,MetaboliteClass,,,,
PLDγ,Gene,PathwayGene,gi:17401471 (PLDγ-like EST context),,
triacylglycerol; phosphatidylcholine-derived lipids,Metabolite,,,,
PLDβ,Gene,PathwayGene,gi:21888889 (PLDβ-like EST context),,
phospholipid composition,Metabolite,,,,
phospholipid,MetaboliteClass,,,,
VTC1,Gene,PathwayGene,At2g39770,,
ascorbic acid,Metabolite,,,,
DET2,Gene,PathwayGene,At2g38050,,
brassinolide,Metabolite,,,,
brassinosteroid,MetaboliteClass,,,,
DHDPS2,Gene,PathwayGene,At2G45440,,
Threonine; lysine,Metabolite,,,,
glyoxalase I,Gene,PathwayGene,Y13239,,
zinc,Metabolite,,,,
mineral nutrient,MetaboliteClass,,,,
glyoxalase II,Gene,PathwayGene,AY054407,,
AB-ACO1,Gene,PathwayGene,NA,,
Vigna angularis,Species,,,,
Phytohormone gas,MetaboliteClass,,,,
10.1111/j.1365-313X.2009.03925.x,Paper,,,Uracil salvage is necessary for early Arabidopsis development,10.1111@j.1365-313X.2009.03963.x_nutri_plant_verified.json
Jatropha curcas,Species,,,,
fatty acid composition of Jatropha oil,Metabolite,,,,
FATB,Gene,PathwayGene,Glyma.05g012300,,
SAD1,Gene,PathwayGene,NA,,
stearic acid/oleic acid balance in Jatropha oil,Metabolite,,,,
SAD3,Gene,PathwayGene,NA,,
stearic acid/oleic acid balance,Metabolite,,,,
oleic acid/linoleic acid composition,Metabolite,,,,
FAD6,Gene,PathwayGene,NA,,
CYS-C1,Gene,PathwayGene,At3g61440,,
cyanide; sulfide; cysteine,Metabolite,,,,
nitrogen toxic metabolite; sulfur metabolite; amino acid,MetaboliteClass,,,,
AOX1a,Gene,PathwayGene,NA,,
reactive oxygen species; hydrogen peroxide,Metabolite,,,,
reactive oxygen metabolite,MetaboliteClass,,,,
Alternative respiratory electron transport that bypasses cytochrome pathway under cyanide/sulfide stress,Process,,,,
10.1016/j.ecoenv.2022.114481,Paper,,,The mechanism of enhanced lignin regulating foliar Cd absorption and yield in rice (Oryza sativa L.),10.1016@j.ecoenv.2022.114481_nutri_plant_verified.json
OsPAL,Gene,PathwayGene,NA,,
OsCOMT,Gene,PathwayGene,Os08g0157500,,
Os4CL3,Gene,PathwayGene,NA,,
OsLAC5,Gene,PathwayGene,NA,,
OsLAC15,Gene,PathwayGene,NA,,
OsNRAMP5,Gene,RegulationGene,NA,,
cadmium (Cd),Metabolite,,,,
heavy metal/mineral contaminant,MetaboliteClass,,,,
cadmium uptake/transport and redistribution,Process,,,,
OsHMA3,Gene,RegulationGene,NA,,
cadmium transport and intracellular sequestration/homeostasis,Process,,,,
OsIRT1,Gene,PathwayGene,NA,,
metal uptake/transport contributing to Cd movement,Process,,,,
"VvSTS gene family (VvSTS1–31; specifically assayed: VvSTS1/2, VvSTS3/4, VvSTS5/6, VvSTS7/8, VvSTS9–11, VvSTS12, VvSTS13, VvSTS14, VvSTS15, VvSTS16–18, VvSTS19, VvSTS20, VvSTS21, VvSTS22–24, VvSTS25/26, VvSTS27–30, VvSTS31)",Gene,PathwayGene,NA,,
Stilbenes,Metabolite,,,,
Polyphenol phytoalexin,MetaboliteClass,,,,
VvCHS1,Gene,PathwayGene,NA,,
Flavonols/flavonoids,Metabolite,,,,
VvCHS2,Gene,PathwayGene,NA,,
VvCHS3,Gene,PathwayGene,NA,,
VvMYB14,Gene,RegulationGene,VIT_207s0005g03340,,
Stilbene biosynthesis,Process,,,,
VvMYB15,Gene,RegulationGene,VIT_05s0049g01020,,
10.1016/j.phytochem.2014.07.019,Paper,,,"Characterization, mutagenesis and mechanistic analysis of an ancient algal sterol C24-methyltransferase: Implications for understanding sterol evolution in the green lineage",PMC5182512_nutri_plant_verified.json
CrSMT,Gene,PathwayGene,XM_001690723.1,,
Ergosterol; 7-dehydroporiferasterol,Metabolite,,,,
Sterol,MetaboliteClass,,,,
CrSMT Tyr110Phe,Gene,PathwayGene,XM_001690723.1,,
24β-methyl/ethyl sterol intermediates leading to ergosterol-type sterols,Metabolite,,,,
CrSMT Tyr110Leu,Gene,PathwayGene,XM_001690723.1,,
Solanum lycopersicum / Solanum chilense,Species,,,,
carotenoids; α-tocopherol; ABA,Metabolite,,,,
isoprenoid-derived pigments/vitamin/phytohormone,MetaboliteClass,,,,
IPI,Gene,PathwayGene,NA,,
GGPPS,Gene,PathwayGene,NA,,
carotenoids; tocopherol phytyl side-chain precursor; ABA via carotenoid pathway,Metabolite,,,,
PSY2,Gene,PathwayGene,NA,,
β-carotene / total carotenoids,Metabolite,,,,
HPT1,Gene,PathwayGene,NA,,
α-tocopherol,Metabolite,,,,
vitamin E / tocopherol,MetaboliteClass,,,,
NCED,Gene,PathwayGene,Solyc07g056570.1.1,,
phytohormone / apocarotenoid,MetaboliteClass,,,,
10.1104/pp.20.00978,Paper,,,Increased Cuticle Permeability Caused by a New Allele of ACETYL-COA CARBOXYLASE1 Enhances CO2 Uptake,PMC7723107_nutri_plant_verified.json
ACC1,Gene,PathwayGene,NA,,
cuticular waxes,Metabolite,,,,
HmSTCS1a/HmSTCS1b,Gene,PathwayGene,AF456445; AF456446,,
Hydrangea macrophylla,Species,,,,
lunularic acid,Metabolite,,,,
stilbenecarboxylate; phenylpropanoid/polyketide,MetaboliteClass,,,,
HmCHS,Gene,PathwayGene,AF456447; AF456448,,
naringenin chalcone,Metabolite,,,,
flavonoid precursor,MetaboliteClass,,,,
CpF3'5'H,Gene,PathwayGene,OQ515468,,
Cyclamen persicum,Species,,,,
Anthocyanins; flavonols,Metabolite,,,,
ADC1,Gene,PathwayGene,NA,,
Putrescine; spermidine; spermine; thermospermine,Metabolite,,,,
ADC2,Gene,PathwayGene,NA,,
10.1021/jacs.5c03771,Paper,,,Insights into the Mechanisms of Sugar Acceptor Selectivity of Plant Flavonoid Apiosyltransferases,10.1021@jacs.5c03771_nutri_plant_verified.json
CaApiGT,Gene,PathwayGene,OR372735,,
Cicer arietinum; Nicotiana benthamiana,Species,,,,
Cicer arietinum,Species,,,,
Astragalin 2''-O-apioside; flavonoid 3-O-glycoside apiosides,Metabolite,,,,
Flavonoid apioside,MetaboliteClass,,,,
PcApiGT,Gene,PathwayGene,PQ656105,,
Flavonoid 7-/4'-O-glycoside apiosides,Metabolite,,,,
AmApiGT,Gene,PathwayGene,PQ656106,,
Astragalus membranaceus,Species,,,,
Astragalin 2''-O-apioside,Metabolite,,,,
CcApiGT,Gene,PathwayGene,OR372693,,
Cajanus cajan,Species,,,,
VrApiGT,Gene,PathwayGene,OR372731,,
Vigna radiata,Species,,,,
ApApiGT,Gene,PathwayGene,OR372734,,
Astragalus propinquus,Species,,,,
OsCHS,Gene,PathwayGene,NA,,
OsDFR,Gene,PathwayGene,NA,,
OsAS,Gene,PathwayGene,Y07955.1,,
10.1111/plb.12327,Paper,,,Tracking sesamin synthase gene expression through seed maturity in wild and cultivated sesame species – a domestication footprint,10.1111@plb.12327_nutri_plant_verified.json
CYP81Q1,Gene,PathwayGene,Not specified,,
Sesamum indicum,Species,,,,
Sesamum indicum; Sesamum malabaricum; Sesamum mulayanum; Sesamum radiatum; Sesamum alatum; Sesamum schinzianum,Species,,,,
Sesamin; sesamolin,Metabolite,,,,
10.1104/pp.107.3.895,Paper,,,Sugar-Inducible Expression of a Gene for β-Amylase in Arabidopsis thaliana,PMC157206_nutri_plant_verified.json
Bmy3,Gene,PathwayGene,ISPMB No. 259,,
F2KP,Gene,PathwayGene,AT1G07110,,
Arabidopsis thaliana; Solanum tuberosum; Nicotiana tabacum; Kalanchoe daigremontiana,Species,,,,
Arabidopsis thaliana; Spinacia oleracea; Bruguiera gymnorrhiza; Oryza sativa; Zea mays; Solanum tuberosum,Species,,,,
"Fructose-2,6-bisphosphate (Fru-2,6-P2)",Metabolite,,,,
Sugar phosphate regulatory metabolite,MetaboliteClass,,,,
cyt-FBPase,Gene,PathwayGene,NA,,
Arabidopsis thaliana; Solanum tuberosum; Flaveria linearis,Species,,,,
Arabidopsis thaliana; Solanum tuberosum; Ricinus communis; Flaveria linearis,Species,,,,
PFP,Gene,PathwayGene,NA,,
Nicotiana tabacum; Brassica spp.,Species,,,,
Brassica spp.; Nicotiana tabacum,Species,,,,
10.1021/acs.jafc.8b07300,Paper,,,"Effects of Different Oligochitosans on Isoflavone Metabolites, Antioxidant Activity, and Isoflavone Biosynthetic Genes in Soybean (Glycine max) Seeds during Germination",10.1021@acs.jafc.8b07300_nutri_plant_verified.json
isoflavones,Metabolite,,,,
CHS6,Gene,PathwayGene,L03352,,
CHS7,Gene,PathwayGene,M98871,,
CHI2,Gene,PathwayGene,TRINITY_DN30535_c0_g5,,
IFS1,Gene,PathwayGene,NA,,
genistein; daidzein; isoflavones,Metabolite,,,,
IFS2,Gene,PathwayGene,NA,,
10.1111/j.1469-8137.2010.03555.x,Paper,,,Ethylene signalling is involved in regulation of phosphate starvation-induced gene expression and production of acid phosphatases and anthocyanin in Arabidopsis,10.1111@j.1469-8137.2010.03555.x_nutri_plant_verified.json
CTR1,Gene,RegulationGene,NA,,
"Phosphate starvation-responsive gene expression, phosphate mobilization, and anthocyanin biosynthesis regulation",Process,,,,
EIN2,Gene,RegulationGene,NA,,
Ethylene-mediated control of phosphate starvation adaptation and anthocyanin biosynthesis,Process,,,,
LOX,Gene,PathwayGene,AY159556,,
oxylipin hormone,MetaboliteClass,,,,
glutamate synthase,Gene,PathwayGene,NA,,
Phenylpropanoids,Metabolite,,,,
gdh2,Gene,PathwayGene,NA,,
Colletotrichum gloeosporioides,Species,,,,
Ammonia,Metabolite,,,,
nitrogen metabolite,MetaboliteClass,,,,
nitrate reductase,Gene,PathwayGene,NA,,
nitrite reductase,Gene,PathwayGene,NA,,
pelB,Gene,PathwayGene,NA,,
pacC,Gene,RegulationGene,NA,,
pH-responsive regulation of pathogenicity and nutrient utilization genes,Process,,,,
TcADH2,Gene,PathwayGene,NA,,
Tanacetum cinerariifolium; Nicotiana benthamiana,Species,,,,
Tanacetum cinerariifolium,Species,,,,
Pyrethrins; trans-chrysanthemic acid,Metabolite,,,,
monoterpenoid insecticide,MetaboliteClass,,,,
TcALDH1,Gene,PathwayGene,NA,,
trans-chrysanthemic acid; pyrethrins,Metabolite,,,,
TcCDS,Gene,PathwayGene,NA,,
betB,Gene,PathwayGene,NA,,
Glycine betaine,Metabolite,,,,
Quaternary ammonium osmoprotectant,MetaboliteClass,,,,
PDS,Gene,PathwayGene,At4g14210,,
Colored carotenoids including beta-carotene,Metabolite,,,,
10.1105/tpc.112.096925,Paper,,,Modularity of Plant Metabolic Gene Clusters: A Trio of Linked Genes That Are Collectively Required for Acylation of Triterpenes in Oat,PMC3634678_nutri_plant_verified.json
Sad9,Gene,PathwayGene,JQ071450,,
Avena strigosa,Species,,,,
Avenacin A-1,Metabolite,,,,
triterpenoid saponin,MetaboliteClass,,,,
UGT74H5,Gene,PathwayGene,NA,,
SCPL1,Gene,PathwayGene,NA,,
10.1016/j.plaphy.2023.108254,Paper,,,Effects of exogenous GA3 on stem secondary growth of Pinus massoniana seedlings,10.1016@j.plaphy.2023.108254_nutri_plant_verified.json
PmCAD,Gene,PathwayGene,TRINITY_DN142116_c0_g1,,
Pinus massoniana,Species,,,,
CPD,Gene,PathwayGene,NA,,
Brassinosteroids,Metabolite,,,,
Steroid hormone,MetaboliteClass,,,,
BR6ox1,Gene,PathwayGene,NA,,
GID1,Gene,RegulationGene,NA,,
Hormone signaling controlling secondary growth,Process,,,,
DELLA,Gene,RegulationGene,NA,,
TIR1,Gene,RegulationGene,NA,,
Hormone signaling associated with secondary growth,Process,,,,
ARF,Gene,RegulationGene,comp38451_c0_seq2,,
Hormone-regulated secondary growth,Process,,,,
SAUR,Gene,RegulationGene,NA,,
CYCD3,Gene,RegulationGene,TRINITY_DN34373_c0_g1,,
Cell division contributing to stem secondary growth,Process,,,,
10.1105/tpc.19.00509,Paper,,,Molecular Dissection of Early Defense Signaling Underlying Volatile-Mediated Defense Regulation and Herbivore Resistance in Rice,PMC6482627_nutri_plant_verified.json
JA; OPDA,Metabolite,,,,
OsAOC,Gene,PathwayGene,NA,,
JA,Metabolite,,,,
OsOPR3,Gene,PathwayGene,Os08g35740,,
Defense signaling upstream of jasmonate biosynthesis,Process,,,,
Defense signaling contributing to jasmonate accumulation,Process,,,,
OsWRKY70,Gene,RegulationGene,Os05g39720,,
Defense transcriptional regulation upstream of jasmonate accumulation and herbivore resistance,Process,,,,
OsLRR-RLK1,Gene,RegulationGene,Os06g47650,,
Early defense signaling upstream of MAPK cascade,Process,,,,
10.1093/jxb/erv045,Paper,,,Disruption of both chloroplastic and cytosolic FBPase genes results in a dwarf phenotype and important starch and metabolite changes in Arabidopsis thaliana,PMC4986871_nutri_plant_verified.json
cyFBP,Gene,PathwayGene,At1G43670,,
starch; sucrose,Metabolite,,,,
polysaccharide; carbohydrate,MetaboliteClass,,,,
cFBP1,Gene,PathwayGene,At3G54050,,
nodA,Gene,PathwayGene,NA,,
Acacia tortilis subsp. raddiana-associated Sinorhizobium spp. and Mesorhizobium spp.,Species,,,,
Sinorhizobium spp.; Mesorhizobium spp.,Species,,,,
Nod factor (lipo-chitooligosaccharide),Metabolite,,,,
Lipo-chitooligosaccharide symbiotic signal,MetaboliteClass,,,,
nodD1,Gene,RegulationGene,RTCIAT899_PB01295,,
Sinorhizobium sp. NGR234,Species,,,,
Nod factor biosynthesis,Process,,,,
10.1021/acs.jafc.8b03098,Paper,,,Eugenol Confers Cadmium Tolerance via Intensifying Endogenous Hydrogen Sulfide Signaling in Brassica rapa,10.1021@acs.jafc.8b03098_nutri_plant_verified.json
BrLCD,Gene,PathwayGene,Bra014529,,
hydrogen sulfide (H2S),Metabolite,,,,
signaling sulfur metabolite,MetaboliteClass,,,,
BrDCD,Gene,PathwayGene,Bra025184,,
DCS,Gene,PathwayGene,NA,,
Curcuma spp.,Species,,,,
Curcuma longa,Species,,,,
demethoxycurcumin; curcumin; bisdemethoxycurcumin,Metabolite,,,,
polyphenol; diarylheptanoid,MetaboliteClass,,,,
CURS1,Gene,PathwayGene,BAH56226; PDB: 3OV2,,
curcumin; demethoxycurcumin,Metabolite,,,,
CURS2,Gene,PathwayGene,AB506762.1,,
demethoxycurcumin; curcumin,Metabolite,,,,
10.1038/nbt777,Paper,,,Engineering increased vitamin C levels in plants by overexpression of a D-galacturonic acid reductase,10.1038@nbt777_nutri_plant_verified.json
GalUR,Gene,PathwayGene,FY437718,,
L-ascorbic acid,Metabolite,,,,
10.1105/tpc.20.00278,Paper,,,Substrate Specificity of LACCASE8 Facilitates Polymerization of Caffeyl Alcohol for C-Lignin Biosynthesis in the Seed Coat of Cleome hassleriana,PMC7721330_nutri_plant_verified.json
ChLAC8,Gene,PathwayGene,LOC104823484; ChLAC8X1: XM_010555066.1,,
Cleome hassleriana; Arabidopsis thaliana; Medicago truncatula,Species,,,,
Cleome hassleriana,Species,,,,
C-lignin,Metabolite,,,,
Phenylpropanoid polymer / lignin,MetaboliteClass,,,,
10.1111/nph.14170,Paper,,,MdMyb93 is a regulator of suberin deposition in russeted apple fruit skins,10.1111@nph.14170_nutri_plant_verified.json
KCS2,Gene,PathwayGene,At1G04220,,
suberin,Metabolite,,,,
CYP86A1,Gene,PathwayGene,NA,,
CYP86B1,Gene,PathwayGene,NA,,
GPAT5,Gene,PathwayGene,At3g11430,,
ASFT/RWP1,Gene,PathwayGene,Nbv5r6212895,,
lipid polyester with phenolic domain,MetaboliteClass,,,,
LACS4-like,Gene,PathwayGene,Nbv5r6246568,,
CER4/FAR3-like,Gene,PathwayGene,Nbv5r6203422; Nbv5r6203423,,
MdMYB93,Gene,RegulationGene,MDP0000320772,,
Malus × domestica,Species,,,,
"Suberin biosynthesis, precursor synthesis, transport, polymerization, and deposition; associated phenylpropanoid remobilization",Process,,,,
10.1002/anie.201402635,Paper,,,The Molecular Basis of Conjugated Polyyne Biosynthesis in Phytopathogenic Bacteria,10.1002@anie.201403344_nutri_plant_verified.json
cayB,Gene,PathwayGene,NA,,
Burkholderia caryophylli,Species,,,,
Caryoynencin,Metabolite,,,,
Polyyne fatty acid-derived natural product,MetaboliteClass,,,,
cayC,Gene,PathwayGene,NA,,
cayG,Gene,PathwayGene,NA,,
10.1104/pp.107.095810,Paper,,,"Characterization of AgMaT2, a Plasma Membrane Mannitol Transporter from Celery, Expressed in Phloem Cells, Including Phloem Parenchyma Cells",PMC1976583_nutri_plant_verified.json
10.1007/s00122-022-04151-7,Paper,,,An alanine to valine mutation of glutamyl-tRNA reductase enhances 5-aminolevulinic acid synthesis in rice,10.1007@s00122-022-04151-7_nutri_plant_verified.json
OsGluTR,Gene,PathwayGene,Os10g0502400,,
5-aminolevulinic acid,Metabolite,,,,
tetrapyrrole precursor,MetaboliteClass,,,,
OsGluTRA510V,Gene,PathwayGene,Os10g0502400,,
OsGluRS1,Gene,PathwayGene,Os01g0271200,,
OsGSAT,Gene,PathwayGene,Os08g0532200,,
OsFLU,Gene,RegulationGene,Os02g0586800,,
Oryza sativa; Nicotiana benthamiana; Saccharomyces cerevisiae; Escherichia coli,Species,,,,
ALA biosynthesis,Process,,,,
OsGBP,Gene,RegulationGene,Os08g0254900,,
Oryza sativa; Saccharomyces cerevisiae,Species,,,,
Post-translational regulation/stabilization context of ALA biosynthesis,Process,,,,
10.1111/pbi.13827,Paper,,,"Overexpression of cytoplasmic C4 Flaveria bidentis carbonic anhydrase in C3 Arabidopsis thaliana increases amino acids, photosynthetic potential, and biomass",MinerU_markdown_PMC9342616_2038793938369806348_nutri_plant_verified.json
FbβCA3,Gene,PathwayGene,AY167113,,
Flaveria bidentis,Species,,,,
Aspartate; asparagine; glutamate; glutamine; sugars; starch,Metabolite,,,,
Amino acid; carbohydrate,MetaboliteClass,,,,
10.1016/j.plantsci.2014.11.007,Paper,,,Transcriptional control of vitamin C defective 2 and tocopherol cyclase genes by light and plastid-derived signals: The partial involvement of GENOMES UNCOUPLED 1,10.1016@j.plantsci.2014.11.007_nutri_plant_verified.json
L-ascorbic acid (AsA; vitamin C),Metabolite,,,,
TC,Gene,PathwayGene,NA,,
tocopherols (α-tocopherol; γ-tocopherol),Metabolite,,,,
GUN1,Gene,RegulationGene,NA,,
L-ascorbic acid (AsA); tocopherols,Metabolite,,,,
transcriptional control of antioxidant vitamin biosynthesis via plastid retrograde signaling,Process,,,,
Inc (F3H),Gene,PathwayGene,pJAM239 cDNA clone,,
DFR (pallida),Gene,PathwayGene,NA,,
Candi,Gene,PathwayGene,pJAM322 cDNA clone,,
UFGT,Gene,PathwayGene,AB047099,,
Del,Gene,RegulationGene,NA,,
"Anthocyanin biosynthesis, especially late pathway gene expression in flower tubes",Process,,,,
El (Eluta),Gene,RegulationGene,NA,,
Spatial patterning and intensity of anthocyanin biosynthesis in flowers,Process,,,,
OsPurα,Gene,RegulationGene,GI:218187924,,
transcriptional regulation of sucrose cleavage/partitioning through sucrose synthase gene expression,Process,,,,
10.1074/jbc.M802695200,Paper,,,Closely Related Members of the Medicago truncatula PHT1 Phosphate Transporter Gene Family Encode Phosphate Transporters with Distinct Biochemical Activities,PMC3259825_nutri_plant_verified.json
10.1371/journal.pbio.1002080,Paper,,,PROTEIN TARGETING TO STARCH Is Required for Localising GRANULE-BOUND STARCH SYNTHASE to Starch Granules and for Normal Amylose Synthesis in Arabidopsis,MinerU_markdown_PMC4339375_2038798980527202311_nutri_plant_verified.json
GBSS,Gene,PathwayGene,NA,,
10.1093/pcp/pct110,Paper,,,Violet/Blue Chrysanthemums—Metabolic Engineering of the Anthocyanin Biosynthetic Pathway Results in Novel Petal Colors,10.1093@pcp@pct110_nutri_plant_verified.json
F3'5'H,Gene,PathwayGene,AB213606,,
Chrysanthemum morifolium,Species,,,,
Campanula medium; Viola wittrockiana; Pericallis hybrida; Verbena hybrida; Eustoma grandiflorum; Antirrhinum kelloggii; Gentiana triflora; Lobelia erinus,Species,,,,
Delphinidin-based anthocyanins,Metabolite,,,,
Anthocyanin (flavonoid),MetaboliteClass,,,,
Zm-IAGlc,Gene,PathwayGene,NM_001111856.1,,
indole-3-acetyl-myo-inositol,Metabolite,,,,
auxin conjugate,MetaboliteClass,,,,
Zm-IAIn,Gene,PathwayGene,BT016677.1,,
Zm-IPS,Gene,PathwayGene,AF056326.1,,
Zm-IPP,Gene,PathwayGene,NM_001153736.1,,
10.1038/nbt1082,Paper,,,Improving the nutritional value of Golden Rice through increased pro-vitamin A content,10.1038@nbt1082_nutri_plant_verified.json
Zea mays; Oryza sativa; Narcissus pseudonarcissus; Capsicum annuum; Lycopersicon esculentum; Daucus carota; Arabidopsis thaliana,Species,,,,
β-carotene,Metabolite,,,,
crtI,Gene,PathwayGene,NA,,
Erwinia uredovora,Species,,,,
10.1016/j.jep.2010.08.029,Paper,,,"The expression of erythropoietin triggered by Danggui Buxue Tang, a Chinese herbal decoction prepared from Radix Astragali and Radix Angelicae Sinensis, is mediated by the hypoxia-inducible factor in cultured HEK293T cells",10.1016@j.jep.2010.08.029_nutri_plant_verified.json
HIF-1α,Gene,RegulationGene,NM_001530.3,,
Erythropoietin,Metabolite,,,,
protein hormone,MetaboliteClass,,,,
Hematopoietic hormone biosynthesis/gene expression under hypoxia signaling,Process,,,,
HIF-1β,Gene,RegulationGene,NM_001668.2,,
Hypoxia-responsive gene regulation related to EPO expression,Process,,,,
10.1105/tpc.10.4.413,Paper,,,Mutations in the Gene Encoding Starch Synthase II Profoundly Alter Amylopectin Structure in Pea Embryos,PMC143996_nutri_plant_verified.json
SSII,Gene,PathwayGene,TraesCS1A03G0361500; TraesCS5D03G1065400; TraesCS6D03G0680800; TraesCS7D03G0426300,,
CaCCS,Gene,PathwayGene,Capana06g000615,,
capsanthin; capsorubin,Metabolite,,,,
CaNAC2,Gene,RegulationGene,Caz04g14950,,
capsanthin; capsorubin; ABA,Metabolite,,,,
carotenoid; hormone,MetaboliteClass,,,,
Carotenoid biosynthesis; ABA catabolism/biosynthesis balance; ripening-associated epigenetic circuit,Process,,,,
CaABF3,Gene,RegulationGene,Caz08g21630,,
ABA; carotenoids,Metabolite,,,,
hormone; carotenoid,MetaboliteClass,,,,
"ABA signaling-mediated promotion of ripening, carotenoid biosynthesis support, and epigenetic reinforcement",Process,,,,
10.1126/science.145.3629.279,Paper,,,Mutant Gene That Changes Protein Composition and Increases Lysine Content of Maize Endosperm,10.1126@science.145.3629.279_nutri_plant_verified.json
10.1093/jexbot/53.370.729,Paper,,,Modulation of cyanoalanine synthase and O-acetylserine (thiol) lyases A and B activity by β-substituted alanyl and anion inhibitors,10.1093@jexbot@53.368.439_nutri_plant_verified.json
Cyanoalanine synthase,Gene,PathwayGene,NA,,
Spinacia oleracea,Species,,,,
β-cyanoalanine; cysteine,Metabolite,,,,
amino acid derivative; amino acid,MetaboliteClass,,,,
O-acetylserine (thiol) lyase A,Gene,PathwayGene,NA,,
cysteine; minor β-cyanoalanine,Metabolite,,,,
amino acid; amino acid derivative,MetaboliteClass,,,,
O-acetylserine (thiol) lyase B,Gene,PathwayGene,NA,,
10.1111/ppl.13299,Paper,,,Loss of Arabidopsis matrix metalloproteinase-5 affects root development and root bacterial communities during drought stress,PMC8247326_nutri_plant_verified.json
Amino acid/osmoprotectant,MetaboliteClass,,,,
10.1007/s00122-020-03617-2,Paper,,,Fine mapping of the Ca3GT gene controlling anthocyanin biosynthesis in mature unripe fruit of Capsicum annuum L.,10.1007@s00122-020-03628-7_nutri_plant_verified.json
Ca3GT,Gene,PathwayGene,Capana10g001978,,
10.1007/s11103-018-0744-x,Paper,,,The functional analysis of SlNCED1 in tomato pollen development,PMC11105544_nutri_plant_verified.json
SlNCED1,Gene,PathwayGene,Solyc07g056570,,
Phytohormone; apocarotenoid,MetaboliteClass,,,,
SlMYB21,Gene,RegulationGene,Solyc02g067760,,
ABA-mediated pollen development and germination; regulation of downstream genes involved in nutrient metabolism and anther development,Process,,,,
SlMYB108,Gene,RegulationGene,Solyc05g053330,,
ABA-mediated anther/pollen development and germination,Process,,,,
